Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2021-03-30T20:04:06.867+0200: 3080.520: [GC (Allocation Failure) [PSYoungGen: 26608909K->4611720K(28072960K)] 34807224K->12810459K(38647296K), 0.2031747 secs] [Times: user=6.24 sys=0.04, real=0.21 secs] 
2021-03-30T20:04:30.796+0200: 3104.450: [GC (Allocation Failure) [PSYoungGen: 25718920K->5280584K(25459712K)] 33917659K->13479746K(36034048K), 0.2206418 secs] [Times: user=7.12 sys=0.21, real=0.22 secs] 
2021-03-30T20:04:52.175+0200: 3125.828: [GC (Allocation Failure) [PSYoungGen: 25459528K->6248386K(26647040K)] 33658690K->14447908K(37221376K), 0.2083269 secs] [Times: user=7.77 sys=0.02, real=0.21 secs] 
2021-03-30T20:05:12.619+0200: 3146.272: [GC (Allocation Failure) [PSYoungGen: 25544642K->6281667K(24738816K)] 33744164K->14481582K(35313152K), 0.2201286 secs] [Times: user=8.20 sys=0.02, real=0.22 secs] 
2021-03-30T20:05:29.140+0200: 3162.793: [GC (Allocation Failure) [PSYoungGen: 24738755K->7375629K(26183680K)] 32938670K->15575919K(36758016K), 0.2157764 secs] [Times: user=8.54 sys=0.02, real=0.22 secs] 
2021-03-30T20:05:41.241+0200: 3174.895: [GC (Allocation Failure) [PSYoungGen: 25359117K->8351617K(26657280K)] 33559407K->16552356K(37231616K), 0.2632761 secs] [Times: user=10.84 sys=0.00, real=0.26 secs] 
2021-03-30T20:05:53.923+0200: 3187.577: [GC (Allocation Failure) [PSYoungGen: 26335105K->9404921K(28083712K)] 34535844K->17952156K(38658048K), 0.6019945 secs] [Times: user=8.06 sys=16.45, real=0.60 secs] 
2021-03-30T20:06:10.057+0200: 3203.711: [GC (Allocation Failure) [PSYoungGen: 28083705K->9212800K(29184000K)] 36630940K->17760563K(39758336K), 0.2877952 secs] [Times: user=11.85 sys=0.02, real=0.28 secs] 
2021-03-30T20:06:46.168+0200: 3239.822: [GC (Allocation Failure) [PSYoungGen: 27891584K->3353277K(31915008K)] 36439347K->11901624K(42489344K), 0.1191942 secs] [Times: user=4.66 sys=0.00, real=0.12 secs] 
2021-03-30T20:07:24.463+0200: 3278.117: [GC (Allocation Failure) [PSYoungGen: 24155837K->2643613K(32058368K)] 32704184K->11192464K(42632704K), 0.1176183 secs] [Times: user=4.33 sys=0.06, real=0.12 secs] 
2021-03-30T20:07:50.402+0200: 3304.056: [GC (Allocation Failure) [PSYoungGen: 23446173K->4566660K(33366016K)] 31995024K->13115743K(43940352K), 0.1801519 secs] [Times: user=6.12 sys=1.20, real=0.18 secs] 
2021-03-30T20:08:12.813+0200: 3326.466: [GC (Allocation Failure) [PSYoungGen: 27377796K->5996891K(33825792K)] 35926879K->14546206K(44400128K), 0.1833779 secs] [Times: user=7.13 sys=0.00, real=0.19 secs] 
2021-03-30T20:08:37.412+0200: 3351.065: [GC (Allocation Failure) [PSYoungGen: 28808027K->7246645K(35451904K)] 37357342K->15795960K(46026240K), 0.5523329 secs] [Times: user=5.50 sys=17.84, real=0.55 secs] 
2021-03-30T20:09:01.271+0200: 3374.925: [GC (Allocation Failure) [PSYoungGen: 32107317K->7370648K(35525632K)] 40656632K->15920362K(46099968K), 0.2282299 secs] [Times: user=7.44 sys=0.00, real=0.23 secs] 
2021-03-30T20:09:46.736+0200: 3420.389: [GC (Allocation Failure) [PSYoungGen: 32231320K->2449579K(37857792K)] 40781034K->10999550K(48432128K), 0.1181108 secs] [Times: user=3.55 sys=0.00, real=0.12 secs] 
2021-03-30T20:10:30.116+0200: 3463.770: [GC (Allocation Failure) [PSYoungGen: 29570731K->3401440K(29297664K)] 38120702K->11951411K(39872000K), 0.1287091 secs] [Times: user=4.55 sys=0.18, real=0.12 secs] 
2021-03-30T20:11:03.983+0200: 3497.637: [GC (Allocation Failure) [PSYoungGen: 29297376K->4799597K(33470976K)] 37847347K->13349567K(44045312K), 0.1663855 secs] [Times: user=5.97 sys=0.00, real=0.17 secs] 
2021-03-30T20:11:31.826+0200: 3525.480: [GC (Allocation Failure) [PSYoungGen: 29530733K->5374663K(28999168K)] 38080703K->13924633K(39573504K), 0.1707251 secs] [Times: user=6.89 sys=0.00, real=0.18 secs] 
2021-03-30T20:11:56.602+0200: 3550.256: [GC (Allocation Failure) [PSYoungGen: 28998855K->6559763K(31332352K)] 37548825K->15110061K(41906688K), 0.2294337 secs] [Times: user=8.71 sys=0.03, real=0.23 secs] 
2021-03-30T20:12:20.611+0200: 3574.265: [GC (GCLocker Initiated GC) [PSYoungGen: 29131795K->6454547K(28026368K)] 37682168K->15005208K(38600704K), 0.2436266 secs] [Times: user=7.92 sys=0.12, real=0.24 secs] 
2021-03-30T20:12:40.827+0200: 3594.480: [GC (Allocation Failure) [PSYoungGen: 28026131K->7228270K(29789696K)] 36576794K->15779214K(40364032K), 0.2399236 secs] [Times: user=8.59 sys=0.01, real=0.24 secs] 
2021-03-30T20:13:00.004+0200: 3613.658: [GC (Allocation Failure) [PSYoungGen: 27848558K->8358814K(30552064K)] 36399502K->16910070K(41126400K), 0.2627614 secs] [Times: user=10.78 sys=0.00, real=0.26 secs] 
2021-03-30T20:13:18.166+0200: 3631.819: [GC (Allocation Failure) [PSYoungGen: 28979102K->8870379K(32343552K)] 37530358K->17421931K(42917888K), 0.3925748 secs] [Times: user=9.96 sys=6.61, real=0.40 secs] 
2021-03-30T20:13:47.149+0200: 3660.803: [GC (Allocation Failure) [PSYoungGen: 30737387K->6211277K(32952832K)] 39288939K->14763189K(43527168K), 0.2017121 secs] [Times: user=7.99 sys=0.07, real=0.20 secs] 
2021-03-30T20:14:19.195+0200: 3692.848: [GC (Allocation Failure) [PSYoungGen: 28078285K->4280757K(34080256K)] 36630197K->12832988K(44654592K), 0.1451288 secs] [Times: user=5.70 sys=0.06, real=0.15 secs] 
2021-03-30T20:14:52.591+0200: 3726.245: [GC (Allocation Failure) [PSYoungGen: 28094901K->3834661K(26587136K)] 36647132K->12387252K(37161472K), 0.1328873 secs] [Times: user=5.18 sys=0.00, real=0.13 secs] 
2021-03-30T20:15:24.793+0200: 3758.447: [GC (Allocation Failure) [PSYoungGen: 26586917K->4385654K(30790144K)] 35139508K->12938558K(41364480K), 0.1642095 secs] [Times: user=4.97 sys=0.00, real=0.17 secs] 
2021-03-30T20:15:51.661+0200: 3785.314: [GC (Allocation Failure) [PSYoungGen: 26128758K->5457340K(26241024K)] 34681662K->14010564K(36815360K), 0.2220192 secs] [Times: user=7.22 sys=0.04, real=0.22 secs] 
2021-03-30T20:16:11.174+0200: 3804.828: [GC (Allocation Failure) [PSYoungGen: 26240956K->6970776K(28926976K)] 34794180K->15524320K(39501312K), 0.2414958 secs] [Times: user=7.94 sys=0.04, real=0.25 secs] 
2021-03-30T20:16:30.806+0200: 3824.460: [GC (Allocation Failure) [PSYoungGen: 26842008K->9085263K(29782528K)] 35395552K->17639247K(40356864K), 0.2924637 secs] [Times: user=12.09 sys=0.03, real=0.30 secs] 
2021-03-30T20:16:47.152+0200: 3840.806: [GC (Allocation Failure) [PSYoungGen: 28956495K->9096753K(31738368K)] 37510479K->17651096K(42312704K), 0.4093213 secs] [Times: user=9.92 sys=7.14, real=0.41 secs] 
2021-03-30T20:17:04.805+0200: 3858.459: [GC (Allocation Failure) [PSYoungGen: 30125105K->9695678K(32373248K)] 38679448K->18261606K(42947584K), 0.2869416 secs] [Times: user=11.83 sys=0.00, real=0.29 secs] 
2021-03-30T20:17:26.900+0200: 3880.553: [GC (Allocation Failure) [PSYoungGen: 30724030K->7973755K(35351552K)] 39289958K->16971488K(45925888K), 0.4055180 secs] [Times: user=9.16 sys=7.70, real=0.40 secs] 
2021-03-30T20:17:55.070+0200: 3908.724: [GC (Allocation Failure) [PSYoungGen: 31360891K->4361526K(35362816K)] 40358624K->13526700K(45937152K), 0.1646258 secs] [Times: user=5.57 sys=0.00, real=0.16 secs] 
2021-03-30T20:18:22.884+0200: 3936.538: [GC (Allocation Failure) [PSYoungGen: 27748662K->4844000K(36917248K)] 36913836K->14013156K(47491584K), 0.1578755 secs] [Times: user=6.33 sys=0.04, real=0.16 secs] 
2021-03-30T20:18:52.076+0200: 3965.730: [GC (Allocation Failure) [PSYoungGen: 30483424K->5179034K(37314560K)] 39652580K->14351678K(47888896K), 0.1604330 secs] [Times: user=6.11 sys=0.01, real=0.16 secs] 
2021-03-30T20:19:20.812+0200: 3994.466: [GC (GCLocker Initiated GC) [PSYoungGen: 30818458K->5735441K(38587904K)] 39991206K->14908189K(49162240K), 0.3192294 secs] [Times: user=5.74 sys=7.04, real=0.32 secs] 
2021-03-30T20:19:49.783+0200: 4023.437: [GC (Allocation Failure) [PSYoungGen: 33715217K->6596195K(38946816K)] 42887968K->15768946K(49521152K), 0.2122645 secs] [Times: user=8.31 sys=0.01, real=0.21 secs] 
2021-03-30T20:20:15.258+0200: 4048.912: [GC (Allocation Failure) [PSYoungGen: 34575971K->6920916K(41134592K)] 43748722K->16093668K(51708928K), 0.4560094 secs] [Times: user=5.63 sys=11.82, real=0.45 secs] 
2021-03-30T20:20:44.809+0200: 4078.463: [GC (Allocation Failure) [PSYoungGen: 37560020K->7344121K(41054720K)] 46732772K->16517241K(51629056K), 0.2371149 secs] [Times: user=9.67 sys=0.05, real=0.23 secs] 
2021-03-30T20:21:21.996+0200: 4115.650: [GC (Allocation Failure) [PSYoungGen: 37983225K->5548410K(43261440K)] 47156345K->14721913K(53835776K), 0.3135406 secs] [Times: user=5.34 sys=5.44, real=0.31 secs] 
2021-03-30T20:22:22.107+0200: 4175.760: [GC (Allocation Failure) [PSYoungGen: 38987642K->2742373K(34642944K)] 48161145K->11916253K(45217280K), 0.1218275 secs] [Times: user=4.04 sys=0.01, real=0.13 secs] 
2021-03-30T20:23:17.502+0200: 4231.156: [GC (Allocation Failure) [PSYoungGen: 34642533K->3046966K(39485440K)] 43816413K->12221174K(50059776K), 0.1147874 secs] [Times: user=4.27 sys=0.00, real=0.12 secs] 
2021-03-30T20:24:01.748+0200: 4275.402: [GC (Allocation Failure) [PSYoungGen: 33484854K->4161635K(33209856K)] 42659062K->13336162K(43784192K), 0.1410718 secs] [Times: user=5.41 sys=0.04, real=0.14 secs] 
2021-03-30T20:24:42.238+0200: 4315.892: [GC (Allocation Failure) [PSYoungGen: 33209443K->4069898K(36210176K)] 42383970K->13244705K(46784512K), 0.1952561 secs] [Times: user=5.60 sys=0.05, real=0.19 secs] 
2021-03-30T20:25:06.617+0200: 4340.271: [GC (Allocation Failure) [PSYoungGen: 31796746K->7093284K(33565184K)] 40971553K->16268372K(44139520K), 0.2447392 secs] [Times: user=8.82 sys=0.03, real=0.24 secs] 
2021-03-30T20:25:26.832+0200: 4360.485: [GC (Allocation Failure) [PSYoungGen: 33564708K->9279457K(35460096K)] 42739796K->18454873K(46034432K), 0.2823588 secs] [Times: user=11.63 sys=0.01, real=0.28 secs] 
2021-03-30T20:26:06.743+0200: 4400.396: [GC (Allocation Failure) [PSYoungGen: 34557921K->4204860K(28349440K)] 43733337K->13380619K(38923776K), 0.1732071 secs] [Times: user=5.27 sys=0.04, real=0.18 secs] 
2021-03-30T20:26:36.790+0200: 4430.444: [GC (Allocation Failure) [PSYoungGen: 28349244K->5260699K(32014848K)] 37525003K->14436842K(42589184K), 0.2264504 secs] [Times: user=6.71 sys=0.06, real=0.23 secs] 
2021-03-30T20:27:07.559+0200: 4461.212: [GC (Allocation Failure) [PSYoungGen: 28326811K->4689205K(26730496K)] 37502954K->13865677K(37304832K), 0.2180386 secs] [Times: user=5.77 sys=0.12, real=0.22 secs] 
2021-03-30T20:27:30.621+0200: 4484.275: [GC (Allocation Failure) [PSYoungGen: 26730293K->5664520K(29372416K)] 35906765K->14841295K(39946752K), 0.2400776 secs] [Times: user=6.78 sys=0.09, real=0.24 secs] 
2021-03-30T20:28:06.147+0200: 4519.801: [GC (Allocation Failure) [PSYoungGen: 26731272K->4286010K(24427008K)] 35908047K->13463202K(35001344K), 0.1953261 secs] [Times: user=5.94 sys=0.04, real=0.20 secs] 
2021-03-30T20:28:33.326+0200: 4546.979: [GC (Allocation Failure) [PSYoungGen: 24426554K->3750402K(27695616K)] 33603746K->12947649K(38269952K), 0.1725937 secs] [Times: user=5.23 sys=0.04, real=0.18 secs] 
2021-03-30T20:28:50.116+0200: 4563.770: [GC (Allocation Failure) [PSYoungGen: 23010306K->6702013K(25124864K)] 32207553K->15907540K(35699200K), 0.2367714 secs] [Times: user=8.86 sys=0.07, real=0.23 secs] 
2021-03-30T20:29:08.557+0200: 4582.211: [GC (Allocation Failure) [PSYoungGen: 25124797K->8637411K(27179520K)] 34330324K->17843339K(37753856K), 0.2592688 secs] [Times: user=10.68 sys=0.01, real=0.26 secs] 
2021-03-30T20:29:34.714+0200: 4608.368: [GC (Allocation Failure) [PSYoungGen: 26289635K->4850959K(21745152K)] 35495563K->14057295K(32319488K), 0.1843624 secs] [Times: user=6.70 sys=0.19, real=0.19 secs] 
2021-03-30T20:30:02.222+0200: 4635.876: [GC (Allocation Failure) [PSYoungGen: 21744911K->3525834K(25321984K)] 30951247K->12732657K(35896320K), 0.1479064 secs] [Times: user=4.70 sys=0.04, real=0.15 secs] 
2021-03-30T20:30:27.178+0200: 4660.832: [GC (Allocation Failure) [PSYoungGen: 19698378K->3470401K(18957312K)] 28905201K->12677624K(29531648K), 0.1499029 secs] [Times: user=4.79 sys=0.05, real=0.15 secs] 
2021-03-30T20:30:49.982+0200: 4683.635: [GC (Allocation Failure) [PSYoungGen: 18956865K->3523195K(23689728K)] 28164088K->12730866K(34264064K), 0.1574513 secs] [Times: user=4.65 sys=0.07, real=0.16 secs] 
2021-03-30T20:31:10.305+0200: 4703.958: [GC (Allocation Failure) [PSYoungGen: 18357371K->4058122K(18272256K)] 27565042K->13266154K(28846592K), 0.1892281 secs] [Times: user=6.00 sys=0.07, real=0.19 secs] 
2021-03-30T20:31:28.292+0200: 4721.946: [GC (Allocation Failure) [PSYoungGen: 18271754K->4118246K(21835264K)] 27479786K->13326549K(32409600K), 0.1671084 secs] [Times: user=5.15 sys=0.11, real=0.17 secs] 
2021-03-30T20:31:45.181+0200: 4738.835: [GC (Allocation Failure) [PSYoungGen: 17741542K->4876628K(17938432K)] 26949845K->14085243K(28512768K), 0.2010475 secs] [Times: user=6.43 sys=0.04, real=0.20 secs] 
2021-03-30T20:31:58.992+0200: 4752.645: [GC (Allocation Failure) [PSYoungGen: 17938260K->5427422K(20306944K)] 27146875K->14636438K(30881280K), 0.2016608 secs] [Times: user=7.06 sys=0.03, real=0.20 secs] 
2021-03-30T20:32:10.810+0200: 4764.464: [GC (Allocation Failure) [PSYoungGen: 17954526K->6351413K(21023744K)] 27163542K->15560780K(31598080K), 0.2110719 secs] [Times: user=8.71 sys=0.01, real=0.21 secs] 
2021-03-30T20:32:22.713+0200: 4776.367: [GC (Allocation Failure) [PSYoungGen: 18878517K->6648700K(22162944K)] 28087884K->15858460K(32737280K), 0.1918376 secs] [Times: user=7.91 sys=0.00, real=0.19 secs] 
2021-03-30T20:32:35.786+0200: 4789.440: [GC (Allocation Failure) [PSYoungGen: 20151676K->7718937K(22382592K)] 29361436K->16928960K(32956928K), 0.2517871 secs] [Times: user=10.04 sys=0.00, real=0.26 secs] 
2021-03-30T20:32:46.986+0200: 4800.640: [GC (Allocation Failure) [PSYoungGen: 21221913K->8177952K(23788032K)] 30431936K->17388439K(34362368K), 0.4710541 secs] [Times: user=6.99 sys=12.49, real=0.48 secs] 
2021-03-30T20:32:58.448+0200: 4812.102: [GC (Allocation Failure) [PSYoungGen: 22534944K->8701166K(24387072K)] 31745431K->17911998K(34961408K), 0.2773544 secs] [Times: user=11.29 sys=0.00, real=0.27 secs] 
2021-03-30T20:33:25.438+0200: 4839.092: [GC (Allocation Failure) [PSYoungGen: 23058158K->5201718K(25993728K)] 32268990K->14412925K(36568064K), 0.1608475 secs] [Times: user=6.20 sys=0.01, real=0.16 secs] 
2021-03-30T20:34:00.495+0200: 4874.149: [GC (Allocation Failure) [PSYoungGen: 21275446K->2233381K(26446336K)] 30486653K->11444900K(37020672K), 0.0925513 secs] [Times: user=3.42 sys=0.00, real=0.10 secs] 
2021-03-30T20:34:22.711+0200: 4896.365: [GC (Allocation Failure) [PSYoungGen: 18307109K->4060026K(27636736K)] 27518628K->13271905K(38211072K), 0.1204414 secs] [Times: user=4.82 sys=0.09, real=0.12 secs] 
2021-03-30T20:34:37.893+0200: 4911.546: [GC (GCLocker Initiated GC) [PSYoungGen: 21733242K->6866067K(28005376K)] 30945298K->16078307K(38579712K), 0.2150007 secs] [Times: user=8.12 sys=0.00, real=0.22 secs] 
2021-03-30T20:34:58.007+0200: 4931.661: [GC (Allocation Failure) [PSYoungGen: 24539283K->7666428K(29548544K)] 33751528K->16878865K(40122880K), 0.7024370 secs] [Times: user=5.19 sys=19.47, real=0.71 secs] 
2021-03-30T20:35:36.850+0200: 4970.504: [GC (Allocation Failure) [PSYoungGen: 26845436K->2978407K(29840384K)] 36057873K->12191132K(40414720K), 0.1203541 secs] [Times: user=4.62 sys=0.01, real=0.12 secs] 
2021-03-30T20:36:14.467+0200: 5008.121: [GC (Allocation Failure) [PSYoungGen: 22157415K->3050713K(31283200K)] 31370140K->12263718K(41857536K), 0.0987942 secs] [Times: user=3.78 sys=0.00, real=0.10 secs] 
2021-03-30T20:37:22.707+0200: 5076.361: [GC (Allocation Failure) [PSYoungGen: 24090329K->1013401K(21128704K)] 33303334K->10226702K(31703040K), 0.0535698 secs] [Times: user=1.56 sys=0.00, real=0.06 secs] 
2021-03-30T20:37:58.723+0200: 5112.377: [GC (Allocation Failure) [PSYoungGen: 21128345K->4092680K(28180480K)] 30341646K->13305981K(38754816K), 0.1267647 secs] [Times: user=4.92 sys=0.01, real=0.13 secs] 
2021-03-30T20:38:18.114+0200: 5131.768: [GC (Allocation Failure) [PSYoungGen: 23328520K->7323112K(25722880K)] 32541821K->16536412K(36297216K), 0.2301695 secs] [Times: user=8.84 sys=0.11, real=0.23 secs] 
2021-03-30T20:38:45.269+0200: 5158.922: [GC (Allocation Failure) [PSYoungGen: 25722856K->6645133K(27560448K)] 34936156K->15858434K(38134784K), 0.2141819 secs] [Times: user=8.08 sys=0.00, real=0.21 secs] 
2021-03-30T20:39:07.467+0200: 5181.121: [GC (Allocation Failure) [PSYoungGen: 24249741K->4095106K(20943872K)] 33463042K->13308407K(31518208K), 0.1581785 secs] [Times: user=5.89 sys=0.00, real=0.16 secs] 
2021-03-30T20:39:21.117+0200: 5194.770: [GC (Allocation Failure) [PSYoungGen: 20943490K->5552900K(27546624K)] 30156791K->14766201K(38120960K), 0.1792820 secs] [Times: user=7.02 sys=0.07, real=0.18 secs] 
2021-03-30T20:39:53.134+0200: 5226.788: [GC (Allocation Failure) [PSYoungGen: 22751492K->4816023K(21278720K)] 31964793K->14029323K(31853056K), 0.2467720 secs] [Times: user=6.76 sys=0.20, real=0.25 secs] 
2021-03-30T20:40:30.949+0200: 5264.602: [GC (Allocation Failure) [PSYoungGen: 21278359K->2422180K(24638976K)] 30491659K->11635480K(35213312K), 0.1120104 secs] [Times: user=3.08 sys=0.03, real=0.11 secs] 
2021-03-30T20:40:56.235+0200: 5289.889: [GC (Allocation Failure) [PSYoungGen: 18184612K->3514206K(18610688K)] 27397912K->12727722K(29185024K), 0.1700585 secs] [Times: user=4.36 sys=0.05, real=0.17 secs] 
2021-03-30T20:41:18.159+0200: 5311.813: [GC (Allocation Failure) [PSYoungGen: 18610526K->4360371K(22336512K)] 27824042K->13574439K(32910848K), 0.1980125 secs] [Times: user=4.32 sys=0.06, real=0.20 secs] 
2021-03-30T20:41:34.574+0200: 5328.228: [GC (Allocation Failure) [PSYoungGen: 18823347K->4925615K(18786304K)] 28037415K->14141104K(29360640K), 0.2001547 secs] [Times: user=6.12 sys=0.06, real=0.20 secs] 
2021-03-30T20:41:45.057+0200: 5338.711: [GC (Allocation Failure) [PSYoungGen: 18785967K->6880888K(22023680K)] 28001456K->16097849K(32598016K), 0.1920825 secs] [Times: user=7.88 sys=0.00, real=0.19 secs] 
2021-03-30T20:41:56.400+0200: 5350.053: [GC (Allocation Failure) [PSYoungGen: 20319352K->8363033K(22445568K)] 29536313K->17674892K(33019904K), 0.2566999 secs] [Times: user=10.15 sys=0.02, real=0.26 secs] 
2021-03-30T20:42:07.126+0200: 5360.780: [GC (Allocation Failure) [PSYoungGen: 21801497K->9221104K(23709184K)] 31113356K->18533415K(34283520K), 0.5262785 secs] [Times: user=8.07 sys=14.05, real=0.53 secs] 
2021-03-30T20:42:28.469+0200: 5382.122: [GC (Allocation Failure) [PSYoungGen: 23054320K->6096575K(24715264K)] 32366631K->15409493K(35289600K), 0.1915521 secs] [Times: user=7.87 sys=0.00, real=0.19 secs] 
2021-03-30T20:42:44.765+0200: 5398.418: [GC (Allocation Failure) [PSYoungGen: 19929791K->4831206K(25188864K)] 29242709K->14144557K(35763200K), 0.1504373 secs] [Times: user=5.83 sys=0.01, real=0.15 secs] 
2021-03-30T20:42:58.975+0200: 5412.628: [GC (Allocation Failure) [PSYoungGen: 20258278K->5593782K(25614848K)] 29571629K->14907493K(36189184K), 0.1840623 secs] [Times: user=7.61 sys=0.00, real=0.19 secs] 
2021-03-30T20:43:13.209+0200: 5426.862: [GC (Allocation Failure) [PSYoungGen: 21020854K->7988211K(26427904K)] 30334565K->17302242K(37002240K), 0.3122864 secs] [Times: user=8.34 sys=4.11, real=0.31 secs] 
2021-03-30T20:43:32.099+0200: 5445.752: [GC (Allocation Failure) [PSYoungGen: 24684019K->7249109K(26896896K)] 33998050K->16563564K(37471232K), 0.2474711 secs] [Times: user=10.17 sys=0.01, real=0.24 secs] 
2021-03-30T20:43:52.414+0200: 5466.067: [GC (Allocation Failure) [PSYoungGen: 23944917K->5602124K(27975680K)] 33259372K->14916850K(38550016K), 0.1842589 secs] [Times: user=7.42 sys=0.00, real=0.19 secs] 
2021-03-30T20:44:11.932+0200: 5485.586: [GC (Allocation Failure) [PSYoungGen: 24116556K->5757580K(28434432K)] 33431282K->15072563K(39008768K), 0.1910288 secs] [Times: user=7.79 sys=0.01, real=0.19 secs] 
2021-03-30T20:44:35.535+0200: 5509.189: [GC (Allocation Failure) [PSYoungGen: 24272012K->5699377K(29353472K)] 33586995K->15014624K(39927808K), 0.3054882 secs] [Times: user=7.06 sys=2.61, real=0.31 secs] 
2021-03-30T20:45:08.575+0200: 5542.229: [GC (Allocation Failure) [PSYoungGen: 26149681K->3366723K(29681664K)] 35464928K->12682162K(40256000K), 0.1291109 secs] [Times: user=5.02 sys=0.00, real=0.13 secs] 
2021-03-30T20:45:36.775+0200: 5570.429: [GC (Allocation Failure) [PSYoungGen: 23817027K->3509076K(31373824K)] 33132466K->12824515K(41948160K), 0.1167667 secs] [Times: user=4.61 sys=0.01, real=0.12 secs] 
2021-03-30T20:46:08.087+0200: 5601.741: [GC (Allocation Failure) [PSYoungGen: 25730388K->4422983K(25661440K)] 35045827K->13738422K(36235776K), 0.1454712 secs] [Times: user=5.36 sys=0.00, real=0.15 secs] 
2021-03-30T20:46:30.006+0200: 5623.659: [GC (Allocation Failure) [PSYoungGen: 25661255K->5858530K(28111360K)] 34976694K->15173969K(38685696K), 0.2159323 secs] [Times: user=6.42 sys=2.33, real=0.22 secs] 
2021-03-30T20:46:54.967+0200: 5648.621: [GC (Allocation Failure) [PSYoungGen: 26162402K->6677583K(26093056K)] 35477841K->15993022K(36667392K), 0.2083434 secs] [Times: user=7.53 sys=0.06, real=0.21 secs] 
2021-03-30T20:47:33.019+0200: 5686.673: [GC (Allocation Failure) [PSYoungGen: 26092623K->3387013K(26792960K)] 35408062K->12702452K(37367296K), 0.1077715 secs] [Times: user=4.09 sys=0.11, real=0.10 secs] 
2021-03-30T20:48:34.821+0200: 5748.474: [GC (Allocation Failure) [PSYoungGen: 21957253K->802028K(18569216K)] 31272692K->10117467K(29143552K), 0.0587526 secs] [Times: user=1.65 sys=0.00, real=0.06 secs] 
2021-03-30T20:49:11.864+0200: 5785.518: [GC (Allocation Failure) [PSYoungGen: 18568940K->2667886K(25511936K)] 27884379K->11983325K(36086272K), 0.1003196 secs] [Times: user=3.10 sys=0.02, real=0.10 secs] 
2021-03-30T20:49:37.956+0200: 5811.610: [GC (Allocation Failure) [PSYoungGen: 19670894K->3429727K(19706368K)] 28986333K->12745166K(30280704K), 0.1647285 secs] [Times: user=4.51 sys=0.06, real=0.16 secs] 
2021-03-30T20:49:53.168+0200: 5826.821: [GC (Allocation Failure) [PSYoungGen: 19706207K->5487492K(23791104K)] 29021646K->14803131K(34365440K), 0.1852674 secs] [Times: user=6.20 sys=0.10, real=0.19 secs] 
2021-03-30T20:50:04.540+0200: 5838.194: [GC (Allocation Failure) [PSYoungGen: 21072772K->7346994K(24580096K)] 30388411K->16662769K(35154432K), 0.2281305 secs] [Times: user=8.70 sys=0.01, real=0.23 secs] 
2021-03-30T20:50:16.187+0200: 5849.840: [GC (Allocation Failure) [PSYoungGen: 22932274K->8342584K(25716224K)] 32248049K->17658591K(36290560K), 0.3416788 secs] [Times: user=8.13 sys=6.23, real=0.35 secs] 
2021-03-30T20:50:38.294+0200: 5871.947: [GC (Allocation Failure) [PSYoungGen: 24490040K->7025500K(26526720K)] 33806047K->16341859K(37101056K), 0.2298109 secs] [Times: user=9.50 sys=0.00, real=0.23 secs] 
2021-03-30T20:50:58.500+0200: 5892.154: [GC (Allocation Failure) [PSYoungGen: 23172956K->4399585K(27487232K)] 32489315K->13716320K(38061568K), 0.1363529 secs] [Times: user=5.46 sys=0.00, real=0.14 secs] 
2021-03-30T20:51:21.205+0200: 5914.859: [GC (Allocation Failure) [PSYoungGen: 22143969K->4764449K(27933184K)] 31460704K->14081352K(38507520K), 0.1656631 secs] [Times: user=6.70 sys=0.00, real=0.17 secs] 
2021-03-30T20:51:42.416+0200: 5936.070: [GC (Allocation Failure) [PSYoungGen: 22508833K->4970743K(28256768K)] 31825736K->14287646K(38831104K), 0.1572873 secs] [Times: user=6.37 sys=0.00, real=0.15 secs] 
2021-03-30T20:52:04.545+0200: 5958.199: [GC (Allocation Failure) [PSYoungGen: 24313591K->5321870K(28730880K)] 33630494K->14638773K(39305216K), 0.1842129 secs] [Times: user=7.18 sys=0.00, real=0.19 secs] 
2021-03-30T20:52:27.259+0200: 5980.913: [GC (Allocation Failure) [PSYoungGen: 24664718K->5467983K(29512192K)] 33981621K->14785134K(40086528K), 0.2319416 secs] [Times: user=6.28 sys=2.75, real=0.23 secs] 
2021-03-30T20:52:50.134+0200: 6003.787: [GC (Allocation Failure) [PSYoungGen: 26535759K->5665976K(29783552K)] 35852910K->14983415K(40357888K), 0.1948398 secs] [Times: user=7.56 sys=0.07, real=0.20 secs] 
2021-03-30T20:53:13.857+0200: 6027.511: [GC (Allocation Failure) [PSYoungGen: 26733752K->5777591K(31379968K)] 36051191K->15095181K(41954304K), 0.3281230 secs] [Times: user=6.00 sys=7.40, real=0.32 secs] 
2021-03-30T20:53:38.734+0200: 6052.388: [GC (Allocation Failure) [PSYoungGen: 28809911K->6142027K(31407616K)] 38127501K->15459890K(41981952K), 0.1925393 secs] [Times: user=7.84 sys=0.12, real=0.19 secs] 
2021-03-30T20:54:04.549+0200: 6078.203: [GC (Allocation Failure) [PSYoungGen: 29174347K->6522874K(33357824K)] 38492210K->15841129K(43932160K), 0.4201127 secs] [Times: user=5.88 sys=11.57, real=0.42 secs] 
